,title,address.label,distance,access,position.lat,position.lng,address.postalCode,id
35,Brindaban Apartment,"Brindaban Apartment, Patia, Bhubaneswar 751024, India",2030,"[{'lat': 20.35108, 'lng': 85.83451}]",20.3511,85.83437,751024,here:pds:place:356tgt5c-9c64d277bef1dcf391c05cd7eeabdebd
36,Magnolia Court,"Magnolia Court, Rajiv Nagar, Kalarahanga, Bhubaneswar 751024, India",2040,"[{'lat': 20.35459, 'lng': 85.83486}]",20.35463,85.83487,751024,here:pds:place:356tgt5c-3cc671df1bf4ee99417452bd2184556a
37,Rourkela Apartment,"Rourkela Apartment, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",2084,"[{'lat': 20.36362, 'lng': 85.83288}]",20.36357,85.83297,751024,here:pds:place:356tgt5c-c69bb6bfdfa7aa782665215224fcc3b3
38,Ethics Arcon,"Ethics Arcon, Rajiv Nagar, Kalarahanga, Bhubaneswar 751024, India",2155,"[{'lat': 20.3553, 'lng': 85.83597}]",20.35526,85.83597,751024,here:pds:place:356tgt5c-d0598d6e5fc1ab17b07e39d53c8bc9d1
39,Pdn Imperial Apartment,"Pdn Imperial Apartment, Padmabati Vihar, Chandrasekharpur, Bhubaneswar 751016, India",2165,"[{'lat': 20.33576, 'lng': 85.81951}]",20.33573,85.8195,751016,here:pds:place:356tgt58-7e55e5562cf9e302fbb84780b9c379bf
40,Sai Jyoti Apartment,"Sai Jyoti Apartment, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",2179,"[{'lat': 20.36422, 'lng': 85.83365}]",20.36414,85.83367,751024,here:pds:place:356tgt5c-335c684bbe7c5e66327800f750b2a0a4
41,Gagani Residency,"Gagani Residency, School Road, Patia, Bhubaneswar 751024, India",2184,"[{'lat': 20.34581, 'lng': 85.83373}]",20.34565,85.83384,751024,here:pds:place:356tgt59-a897dc70c4e99b16dd97b261c27482f1
42,Club Town,"Club Town, Chandrasekharpur, Bhubaneswar 751016, India",2185,"[{'lat': 20.33607, 'lng': 85.82165}]",20.33607,85.82164,751016,here:pds:place:356tgt58-2b706f69ebc47a045651f718f0aefbb5
43,Omm Plaza,"Omm Plaza, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",2195,"[{'lat': 20.36132, 'lng': 85.83507}]",20.36123,85.83521,751024,here:pds:place:356tgt5c-a89e38c09d4d8e62b3398e1fe2ebce85
44,Nature's Crest Apartment,"Nature's Crest Apartment, Shree Vihar, Chandrasekharpur, Bhubaneswar 751031, India",2212,"[{'lat': 20.33654, 'lng': 85.82377}]",20.33655,85.82375,751031,here:pds:place:356tgt58-07d2620c0c3d28103d05a079ba8608c0
45,Jagannath Rajsikhar,"Jagannath Rajsikhar, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",2224,"[{'lat': 20.3621, 'lng': 85.83534}]",20.36196,85.83522,751024,here:pds:place:356tgt5c-4c54a6133b3865844bacd6a1ca4ddbf9
46,Dev Nilaya Apartment,"Dev Nilaya Apartment, Sailashree Vihar, Chandrasekharpur, Bhubaneswar 751024, India",2249,"[{'lat': 20.33715, 'lng': 85.80512}]",20.33698,85.80509,751024,here:pds:place:356tgt58-d84cff868a0cabe1f45855735edc156c
47,Evos Olive Enclave,"Evos Olive Enclave, Sailashree Vihar, Chandrasekharpur, Bhubaneswar 751024, India",2272,"[{'lat': 20.33722, 'lng': 85.8045}]",20.33706,85.80448,751024,here:pds:place:356tgt58-f4e81a355cffb4ce2e11e838f622cf29
48,Mason Height,"Mason Height, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",2282,"[{'lat': 20.36169, 'lng': 85.83577}]",20.3618,85.83588,751024,here:pds:place:356tgt5c-eb172c9f742ed8d7d0f82c107e85fede
49,Rajmanohar Residency,"Rajmanohar Residency, Tarini Vihar, Raghunathpur Jali, Bhubaneswar 752054, India",2314,"[{'lat': 20.37132, 'lng': 85.82879}]",20.37133,85.82879,752054,here:pds:place:356tgt5c-4c930e4ebe1c9220da233be2023b2f38
50,Essen Residency,"Essen Residency, Essen Residency-Tarini Vihar, Raghunathpur Jali, Bhubaneswar 752054, India",2333,"[{'lat': 20.37072, 'lng': 85.8299}]",20.3707,85.8299,752054,here:pds:place:356tgt5c-edf58ea95d5b529743939f9ad0e49ff9
