,title,id,language,ontologyId,resultType,access,distance,categories,address.label,address.countryCode,address.countryName,address.stateCode,address.state,address.county,address.city,address.district,address.subdistrict,address.postalCode,position.lat,position.lng,address.street,references
33,Subhashree Residency,here:pds:place:356tgt5c-53b15b55002296423195ffa67caca736,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34934, 'lng': 85.83338}]",1981,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Subhashree Residency, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.34926,85.83336,,
34,Purusottam Enclaves Block-3,here:pds:place:356tgt5c-c2ecbcb94e824e8693c6b91952b7693b,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36252, 'lng': 85.83294}]",2029,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Purusottam Enclaves Block-3, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Nandan Vihar,751024,20.36251,85.83294,,
35,Brindaban Apartment,here:pds:place:356tgt5c-9c64d277bef1dcf391c05cd7eeabdebd,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35108, 'lng': 85.83451}]",2030,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Brindaban Apartment, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.3511,85.83437,,
36,Magnolia Court,here:pds:place:356tgt5c-3cc671df1bf4ee99417452bd2184556a,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.35459, 'lng': 85.83486}]",2040,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Magnolia Court, Rajiv Nagar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Rajiv Nagar,751024,20.35463,85.83487,,
37,Rourkela Apartment,here:pds:place:356tgt5c-c69bb6bfdfa7aa782665215224fcc3b3,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36362, 'lng': 85.83288}]",2084,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Rourkela Apartment, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Nandan Vihar,751024,20.36357,85.83297,,
38,Ethics Arcon,here:pds:place:356tgt5c-d0598d6e5fc1ab17b07e39d53c8bc9d1,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.3553, 'lng': 85.83597}]",2155,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Ethics Arcon, Rajiv Nagar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Rajiv Nagar,751024,20.35526,85.83597,,
39,Pdn Imperial Apartment,here:pds:place:356tgt58-7e55e5562cf9e302fbb84780b9c379bf,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33576, 'lng': 85.81951}]",2165,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Pdn Imperial Apartment, Padmabati Vihar, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Padmabati Vihar,751016,20.33573,85.8195,,
40,Sai Jyoti Apartment,here:pds:place:356tgt5c-335c684bbe7c5e66327800f750b2a0a4,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36422, 'lng': 85.83365}]",2179,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Sai Jyoti Apartment, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Nandan Vihar,751024,20.36414,85.83367,,
41,Gagani Residency,here:pds:place:356tgt59-a897dc70c4e99b16dd97b261c27482f1,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.34581, 'lng': 85.83373}]",2184,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Gagani Residency, School Road, Patia, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Patia,,751024,20.34565,85.83384,School Road,
42,Club Town,here:pds:place:356tgt58-2b706f69ebc47a045651f718f0aefbb5,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33607, 'lng': 85.82165}]",2185,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Club Town, Chandrasekharpur, Bhubaneswar 751016, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,,751016,20.33607,85.82164,,
43,Omm Plaza,here:pds:place:356tgt5c-a89e38c09d4d8e62b3398e1fe2ebce85,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.36132, 'lng': 85.83507}]",2195,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Omm Plaza, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Nandan Vihar,751024,20.36123,85.83521,,
44,Nature's Crest Apartment,here:pds:place:356tgt58-07d2620c0c3d28103d05a079ba8608c0,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33654, 'lng': 85.82377}]",2212,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Nature's Crest Apartment, Shree Vihar, Chandrasekharpur, Bhubaneswar 751031, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Shree Vihar,751031,20.33655,85.82375,,
45,Jagannath Rajsikhar,here:pds:place:356tgt5c-4c54a6133b3865844bacd6a1ca4ddbf9,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.3621, 'lng': 85.83534}]",2224,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Jagannath Rajsikhar, Nandan Vihar, Kalarahanga, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Kalarahanga,Nandan Vihar,751024,20.36196,85.83522,,
46,Dev Nilaya Apartment,here:pds:place:356tgt58-d84cff868a0cabe1f45855735edc156c,en-GB,here:cm:ontology:apartment_rental_flat_rental,place,"[{'lat': 20.33715, 'lng': 85.80512}]",2249,"[{'id': '700-7200-0324', 'name': 'Apartment/Flat Rental', 'primary': True}]","Dev Nilaya Apartment, Sailashree Vihar, Chandrasekharpur, Bhubaneswar 751024, India",IND,India,OD,Odisha,Khordha,Bhubaneswar,Chandrasekharpur,Sailashree Vihar,751024,20.33698,85.80509,,
